"detailid","tarih","marka","seri","model","yil","yakit","vites","hacim","guc","kilometre","takas","kimden","fiyat"
"2323","23 Aralık 2019","Volkswagen","Jetta","1.6 Midline","0.2008","LPG &amp; Benzin","Otomatik","1595 cc","102 hp","0.262","Takasa Uygun Değil","Sahibinden","0.05575"
"2324","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi Trendline","0.2015","Benzin","D&#252;z","1390 cc","122 hp","0.051","Takasa Uygun Değil","Sahibinden","0.104"
"2325","23 Aralık 2019","Volkswagen","Jetta","1.2 TSi Comfortline","0.2015","Benzin","Yarı Otomatik","1197 cc","105 hp","0.0795","Takasa Uygun Değil","Sahibinden","0.1115"
"2326","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi BlueMotion Comfortline","0.2016","Benzin","Otomatik","1395 cc","101 - 125 HP","0.042309","Takasa Uygun Değil","Galeriden","0.127"
"2327","23 Aralık 2019","Volkswagen","Jetta","1.6 FSi Midline","0.2006","Benzin","D&#252;z","1598 cc","115 hp","0.1565","Takasa Uygun","Sahibinden","0.053"
"2328","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Highline","0.2013","Dizel","D&#252;z","1598 cc","105 hp","0.17","Takasa Uygun Değil","Sahibinden","0.11"
"2329","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2014","Dizel","D&#252;z","1401 - 1600 cm3","101 - 125 HP","0.143","Takasa Uygun","Galeriden","0.0875"
"2330","23 Aralık 2019","Volkswagen","Jetta","1.2 TSi Comfortline","0.2015","Benzin","D&#252;z","1197 cc","105 hp","0.089","Takasa Uygun Değil","Galeriden","0.09875"
"2331","23 Aralık 2019","Volkswagen","Jetta","1.6 Midline","0.2008","Benzin","D&#252;z","1595 cc","102 hp","0.2585","Takasa Uygun","Galeriden","0.046950000000000006"
"2332","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi BlueMotion Comfortline","0.2016","Benzin","Yarı Otomatik","1395 cc","125 hp","0.094762","Takasa Uygun Değil","Galeriden","0.12890000000000001"
"2333","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi Highline","0.2016","Benzin","Yarı Otomatik","1390 cc","122 hp","0.055274000000000004","Takasa Uygun Değil","Galeriden","0.1499"
"2334","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi BlueMotion Comfortline","0.2015","Benzin","Yarı Otomatik","1395 cc","125 hp","0.09693600000000001","Takasa Uygun Değil","Galeriden","0.12990000000000002"
"2335","23 Aralık 2019","Volkswagen","Jetta","1.6 Midline","0.2008","Benzin","D&#252;z","1595 cc","102 hp","0.2585","Takasa Uygun","Galeriden","0.046950000000000006"
"2336","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2015","Dizel","Otomatik","1401 - 1600 cm3","101 - 125 HP","0.126","Takasa Uygun","Sahibinden","0.1075"
"2337","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2012","Dizel","D&#252;z","1598 cc","105 hp","0.195","Takasa Uygun Değil","Sahibinden","0.06949999999999999"
"2338","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi Comfortline","0.2008","Benzin","D&#252;z","1390 cc","122 hp","0.23","Takasa Uygun","Galeriden","0.0449"
"2339","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2013","Dizel","D&#252;z","1598 cc","105 hp","0.153","Takasa Uygun Değil","Sahibinden","0.085"
"2340","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi BlueMotion Comfortline","0.2016","Benzin","Yarı Otomatik","1395 cc","125 hp","0.107","Takasa Uygun Değil","Galeriden","0.107"
"2341","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Highline","0.2014","Dizel","D&#252;z","1598 cc","105 hp","0.167","Takasa Uygun Değil","Sahibinden","0.097"
"2342","23 Aralık 2019","Volkswagen","Jetta","1.6 Midline","0.2008","Benzin","D&#252;z","1595 cc","102 hp","0.17","Takasa Uygun Değil","Galeriden","0.064"
"2343","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2012","Dizel","Yarı Otomatik","1598 cc","105 hp","0.156","Takasa Uygun","Sahibinden","0.09899999999999999"
"2344","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi BlueMotion Comfortline","0.2016","Benzin","Yarı Otomatik","1395 cc","125 hp","0.044","Takasa Uygun","Sahibinden","0.128"
"2345","23 Aralık 2019","Volkswagen","Jetta","1.6 FSi Midline","0.2006","Benzin","D&#252;z","1598 cc","115 hp","0.077","Takasa Uygun Değil","Sahibinden","0.0625"
"2346","23 Aralık 2019","Volkswagen","Jetta","1.6 Midline","0.2006","Benzin","D&#252;z","1595 cc","102 hp","0.225","Takasa Uygun","Galeriden","0.0465"
"2347","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Highline","0.2011","Dizel","D&#252;z","1598 cc","105 hp","0.142","Takasa Uygun","Sahibinden","0.088"
"2348","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2012","Dizel","Yarı Otomatik","1598 cc","105 hp","0.139","Takasa Uygun Değil","Sahibinden","0.09050000000000001"
"2349","23 Aralık 2019","Volkswagen","Jetta","1.2 TSi BlueMotion Trendline","0.2017","Benzin","Yarı Otomatik","1197 cc","105 hp","0.019","Takasa Uygun Değil","Sahibinden","0.125"
"2350","23 Aralık 2019","Volkswagen","Jetta","1.2 TSi Trendline","0.2015","Benzin","D&#252;z","1197 cc","105 hp","0.112","Takasa Uygun","Galeriden","0.087"
"2351","23 Aralık 2019","Volkswagen","Jetta","1.6 Primeline","0.2007","Benzin","D&#252;z","1595 cc","102 hp","0.178","Takasa Uygun","Sahibinden","0.04475"
"2352","23 Aralık 2019","Volkswagen","Jetta","1.6 Primeline","0.2011","LPG &amp; Benzin","D&#252;z","1595 cc","102 hp","0.219","Takasa Uygun","Sahibinden","0.060000000000000005"
"2353","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2015","Dizel","Yarı Otomatik","1401 - 1600 cm3","101 - 125 HP","0.114","Takasa Uygun Değil","Galeriden","0.10725"
"2354","23 Aralık 2019","Volkswagen","Jetta","1.6 Primeline","0.2008","LPG &amp; Benzin","D&#252;z","1595 cc","102 hp","0.239","Takasa Uygun","Galeriden","0.0549"
"2355","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2012","Dizel","Yarı Otomatik","1598 cc","105 hp","0.09490000000000001","Takasa Uygun Değil","Sahibinden","0.108"
"2356","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi BlueMotion Comfortline","0.2016","Benzin","Yarı Otomatik","1395 cc","125 hp","0.157","Takasa Uygun","Galeriden","0.10595"
"2357","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2015","Dizel","Yarı Otomatik","1401 - 1600 cm3","101 - 125 HP","0.111","Takasa Uygun","Galeriden","0.10895"
"2358","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2015","Dizel","Yarı Otomatik","1401 - 1600 cm3","101 - 125 HP","0.07","Takasa Uygun","Galeriden","0.10575"
"2359","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2015","Dizel","Yarı Otomatik","1401 - 1600 cm3","101 - 125 HP","0.118","Takasa Uygun","Galeriden","0.10695"
"2360","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2014","Dizel","Yarı Otomatik","1598 cc","105 hp","0.171354","Takasa Uygun Değil","Sahibinden","0.09290000000000001"
"2361","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Highline","0.2014","Dizel","Yarı Otomatik","1598 cc","105 hp","0.087","Takasa Uygun Değil","Sahibinden","0.12475"
"2362","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2012","Dizel","Yarı Otomatik","1598 cc","105 hp","0.127","Takasa Uygun Değil","Sahibinden","0.0915"
"2363","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2015","Dizel","D&#252;z","1401 - 1600 cm3","101 - 125 HP","0.03","Takasa Uygun","Galeriden","0.1139"
"2364","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2015","Dizel","D&#252;z","1598 cc","105 hp","0.15","Takasa Uygun Değil","Galeriden","0.0955"
"2365","23 Aralık 2019","Volkswagen","Jetta","1.2 TSi BlueMotion Comfortline","0.2017","Benzin","Yarı Otomatik","1197 cc","105 hp","0.046","Takasa Uygun Değil","Sahibinden","0.12000000000000001"
"2366","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2015","Dizel","D&#252;z","1401 - 1600 cm3","101 - 125 HP","0.138","Takasa Uygun","Galeriden","0.09375"
"2367","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2012","Dizel","Yarı Otomatik","1598 cc","105 hp","0.17955000000000002","Takasa Uygun","Galeriden","0.08475"
"2368","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2012","Dizel","D&#252;z","1598 cc","105 hp","0.179","Takasa Uygun Değil","Galeriden","0.083"
"2369","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi Comfortline","0.2007","Benzin","Yarı Otomatik","1390 cc","140 hp","0.16","Takasa Uygun","Galeriden","0.0575"
"2370","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2013","Dizel","Yarı Otomatik","1598 cc","105 hp","0.142","Takasa Uygun","Galeriden","0.0925"
"2371","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Exclusive","0.2011","Dizel","Yarı Otomatik","1401 - 1600 cm3","101 - 125 HP","0.178","Takasa Uygun Değil","Sahibinden","0.07200000000000001"
"2372","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2015","Dizel","Yarı Otomatik","1401 - 1600 cm3","101 - 125 HP","0.15","Takasa Uygun","Sahibinden","0.112"
"2373","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2012","Dizel","Yarı Otomatik","1598 cc","105 hp","0.17","Takasa Uygun Değil","Sahibinden","0.07475"
"2374","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Highline","0.2013","Dizel","D&#252;z","1598 cc","105 hp","0.122","Takasa Uygun","Sahibinden","0.09975"
"2375","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Primeline","0.201","Dizel","Yarı Otomatik","1598 cc","105 hp","0.214","Takasa Uygun Değil","Sahibinden","0.052"
"2376","23 Aralık 2019","Volkswagen","Jetta","1.2 TSi Comfortline","0.2012","Benzin","D&#252;z","1197 cc","105 hp","0.0715","Takasa Uygun","Galeriden","0.09000000000000001"
"2377","23 Aralık 2019","Volkswagen","Jetta","1.2 TSi Comfortline","0.2015","Benzin","Yarı Otomatik","1197 cc","105 hp","0.100213","Takasa Uygun","Galeriden","0.10500000000000001"
"2378","23 Aralık 2019","Volkswagen","Jetta","1.2 TSi Comfortline","0.2012","Benzin","D&#252;z","1197 cc","105 hp","0.095","Takasa Uygun","Galeriden","0.088"
"2379","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi Highline","0.2012","Benzin","D&#252;z","1390 cc","122 hp","0.168","Takasa Uygun Değil","Sahibinden","0.09000000000000001"
"2380","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2014","Dizel","Yarı Otomatik","1401 - 1600 cm3","101 - 125 HP","0.198","Takasa Uygun","Galeriden","0.093"
"2381","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2013","Dizel","D&#252;z","1598 cc","105 hp","0.173","Takasa Uygun Değil","Sahibinden","0.079"
"2382","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi Highline","0.2013","Benzin","D&#252;z","1390 cc","122 hp","0.102","Takasa Uygun","Galeriden","0.083"
"2383","23 Aralık 2019","Volkswagen","Jetta","1.6 Comfortline","0.2006","Benzin","D&#252;z","1595 cc","102 hp","0.149","Takasa Uygun","Sahibinden","0.044"
"2384","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi Comfortline","0.2014","Benzin","Yarı Otomatik","1201 - 1400 cm3","101 - 125 HP","0.075","Takasa Uygun","Galeriden","0.10900000000000001"
"2385","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2014","Dizel","Yarı Otomatik","1598 cc","105 hp","0.141","Takasa Uygun","Galeriden","0.08349999999999999"
"2386","23 Aralık 2019","Volkswagen","Jetta","1.6 Comfortline","0.2008","Benzin","Otomatik","1595 cc","102 hp","0.107","Takasa Uygun Değil","Sahibinden","0.06999999999999999"
"2387","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi BlueMotion Comfortline","0.2016","Benzin","Yarı Otomatik","1395 cc","125 hp","0.079","Takasa Uygun Değil","Galeriden","0.1075"
"2388","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2011","Dizel","Yarı Otomatik","1598 cc","105 hp","0.19069999999999998","Takasa Uygun Değil","Sahibinden","0.0855"
"2389","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2015","Dizel","D&#252;z","1598 cc","105 hp","0.238","Takasa Uygun","Galeriden","0.08475"
"2390","23 Aralık 2019","Volkswagen","Jetta","1.2 TSi Comfortline","0.2014","Benzin","Yarı Otomatik","1197 cc","105 hp","0.096","Takasa Uygun Değil","Sahibinden","0.1035"
"2391","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2011","Dizel","D&#252;z","1598 cc","105 hp","0.185","Takasa Uygun Değil","Sahibinden","0.0665"
"2392","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Highline","0.2014","Dizel","Yarı Otomatik","1598 cc","105 hp","0.04","Takasa Uygun Değil","Sahibinden","0.125"
"2393","23 Aralık 2019","Volkswagen","Jetta","1.2 TSi BlueMotion Trendline","0.2017","Benzin","D&#252;z","1197 cc","105 hp","0.018","Takasa Uygun Değil","Sahibinden","0.108"
"2394","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi BlueMotion Comfortline","0.2016","Benzin","Yarı Otomatik","1395 cc","125 hp","0.057","Takasa Uygun Değil","Sahibinden","0.1225"
"2395","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2015","Dizel","D&#252;z","1598 cc","105 hp","0.055","Takasa Uygun Değil","Sahibinden","0.11825000000000001"
"2396","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2011","Dizel","Yarı Otomatik","1598 cc","105 hp","0.185","Takasa Uygun","Sahibinden","0.087"
"2397","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2011","Dizel","Yarı Otomatik","1598 cc","105 hp","0.177","Takasa Uygun Değil","Sahibinden","0.07050000000000001"
"2398","23 Aralık 2019","Volkswagen","Jetta","1.6 FSi Midline","0.2007","Benzin","D&#252;z","1598 cc","115 hp","0.187","Takasa Uygun","Galeriden","0.05175"
"2399","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Highline","0.2013","Dizel","Yarı Otomatik","1598 cc","105 hp","0.101","Takasa Uygun Değil","Sahibinden","0.12000000000000001"
"2400","23 Aralık 2019","Volkswagen","Jetta","1.6 Comfortline","0.2006","LPG &amp; Benzin","D&#252;z","1595 cc","102 hp","0.205","Takasa Uygun Değil","Sahibinden","0.046"
"2401","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Primeline","0.2011","Dizel","Yarı Otomatik","1598 cc","105 hp","0.346","Takasa Uygun","Sahibinden","0.06849999999999999"
"2402","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi BlueMotion Highline","0.2015","Benzin","D&#252;z","1395 cc","125 hp","0.083","Takasa Uygun","Galeriden","0.11474999999999999"
"2403","23 Aralık 2019","Volkswagen","Jetta","1.2 TSi BlueMotion Comfortline","0.2016","Benzin","D&#252;z","1197 cc","105 hp","0.016","Takasa Uygun","Galeriden","0.111"
"2404","22 Aralık 2019","Volkswagen","Jetta","1.4 TSi Highline","0.2014","Benzin","Yarı Otomatik","1390 cc","122 hp","0.038700000000000005","Takasa Uygun Değil","Galeriden","0.12375"
"2405","22 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2015","Dizel","Yarı Otomatik","1401 - 1600 cm3","101 - 125 HP","0.066","Takasa Uygun Değil","Galeriden","0.12085"
"2406","22 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2015","Dizel","Yarı Otomatik","1401 - 1600 cm3","101 - 125 HP","0.118","Takasa Uygun Değil","Galeriden","0.1085"
"2407","22 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2011","Dizel","Yarı Otomatik","1598 cc","105 hp","0.17","Takasa Uygun","Galeriden","0.07875"
"2408","22 Aralık 2019","Volkswagen","Jetta","1.2 TSi Trendline","0.2015","Benzin","D&#252;z","1197 cc","105 hp","0.105","Takasa Uygun","Galeriden","0.08650000000000001"
"2409","22 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2013","Dizel","Yarı Otomatik","1598 cc","105 hp","0.17","Takasa Uygun","Galeriden","0.0855"
"2410","22 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2015","Dizel","Yarı Otomatik","1401 - 1600 cm3","101 - 125 HP","0.133","Takasa Uygun","Galeriden","0.122"
"2411","22 Aralık 2019","Volkswagen","Jetta","1.6 Primeline","0.2006","Benzin","D&#252;z","1595 cc","102 hp","0.1237","Takasa Uygun","Galeriden","0.0665"
"2412","22 Aralık 2019","Volkswagen","Jetta","1.4 TSi BlueMotion Comfortline","0.2016","Benzin","D&#252;z","1395 cc","125 hp","0.048","Takasa Uygun","Galeriden","0.12000000000000001"
"2413","22 Aralık 2019","Volkswagen","Jetta","1.9 TDi Midline","0.2008","Dizel","Yarı Otomatik","1896 cc","105 hp","0.29","Takasa Uygun","Galeriden","0.045000000000000005"
"2414","22 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2014","Dizel","Yarı Otomatik","1401 - 1600 cm3","101 - 125 HP","0.126","Takasa Uygun Değil","Galeriden","0.1075"
"2415","22 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2013","Dizel","Yarı Otomatik","1598 cc","105 hp","0.135","Takasa Uygun Değil","Galeriden","0.09000000000000001"
"2416","22 Aralık 2019","Volkswagen","Jetta","1.2 TSi BlueMotion Trendline","0.2017","Benzin","D&#252;z","1197 cc","105 hp","0.027800000000000002","Takasa Uygun Değil","Sahibinden","0.106"
"2417","22 Aralık 2019","Volkswagen","Jetta","1.2 TSi Comfortline","0.2015","Benzin","Yarı Otomatik","1197 cc","105 hp","0.045","Takasa Uygun Değil","Sahibinden","0.1187"
"2418","22 Aralık 2019","Volkswagen","Jetta","1.6 TDi Highline","0.2014","Dizel","Yarı Otomatik","1598 cc","105 hp","0.166","Takasa Uygun","Sahibinden","0.0955"
"2419","22 Aralık 2019","Volkswagen","Jetta","1.6 Midline","0.2009","LPG &amp; Benzin","Otomatik","1595 cc","102 hp","0.222","Takasa Uygun Değil","Sahibinden","0.057"
"2420","22 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.201","Dizel","Yarı Otomatik","1598 cc","105 hp","0.184","Takasa Uygun Değil","Sahibinden","0.075"
"2421","22 Aralık 2019","Volkswagen","Jetta","1.6 Comfortline","0.2006","LPG &amp; Benzin","D&#252;z","1595 cc","102 hp","0.231","Takasa Uygun Değil","Sahibinden","0.06075"
"2422","22 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2015","Dizel","Yarı Otomatik","1598 cc","105 hp","0.0682","Takasa Uygun Değil","Sahibinden","0.12000000000000001"
"2423","22 Aralık 2019","Volkswagen","Jetta","1.4 TSi Comfortline","0.2012","Benzin","D&#252;z","1390 cc","122 hp","0.112","Takasa Uygun","Sahibinden","0.0795"
"2424","22 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2012","Dizel","Yarı Otomatik","1598 cc","105 hp","0.155","Takasa Uygun Değil","Sahibinden","0.079"
"2425","22 Aralık 2019","Volkswagen","Jetta","1.4 TSi Comfortline","0.201","Benzin","Yarı Otomatik","1390 cc","122 hp","0.189","Takasa Uygun","Galeriden","0.06499999999999999"
"2426","22 Aralık 2019","Volkswagen","Jetta","1.2 TSi BlueMotion Comfortline","0.2016","Benzin","Yarı Otomatik","1197 cc","105 hp","0.094","Takasa Uygun Değil","Galeriden","0.09175"
